# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
449,MSI_LOGIN_REFUSE_BLOCKED_UNTIL
450,MSI_MANUFACTURED_NORMAL_ITEM
451,MSI_MANUFACTURED_FIRE_ITEM
452,MSI_MANUFACTURED_ICE_ITEM
453,MSI_MANUFACTURED_WIND_ITEM
454,MSI_MANUFACTURED_EARTH_ITEM
455,MSI_ACCOUNT_ADDRESS
456,MSI_ACCOUNT_PORT
457,MSI_REGISTRATION_WEB_URL
458,MSI_BAN_USER
459,MSI_ONE_STARPIECE
460,MSI_TWO_STARPIECE
461,MSI_THREE_STARPIECE
462,MSI_GUILD_KICK_REASON
463,MSI_INCATTACKSPEED
464,MSI_DECATTACKSPEED
465,MSI_INCWEAPONATTACK
466,MSI_DECWEAPONATTACK
467,MSI_FASTPREDELAY
468,MSI_NORMALPREDELAY
469,MSI_WEAPONPROPERTYPOISON
470,MSI_WEAPONPROPERTYSAINT
471,MSI_WEAPONPROPERTYORIGINAL
472,MSI_ARMORPROPERTYSAINT
473,MSI_ARMORPROPERTYORIGINAL
474,MSI_BARRIOR
475,MSI_DISAPPEARBARRIOR
476,MSI_PERFECTDAMAGE
477,MSI_DISAPPEARPERFECTDAMAGE
478,MSI_OVERTHRUSTING
479,MSI_DISAPPEAROVERTHRUSTING
480,MSI_MAXIMIZE
481,MSI_DISAPPEARMAXIMIZE
482,MSI_SERVER_PROPERTY_NEW
483,MSI_SERVER_USER_COUNT
484,MSI_SERVER_INSPECTING
485,MSI_GUILD_MEMBER_STATUS_ONLINE
486,MSI_GUILD_MEMBER_STATUS_OFFLINE
487,MSI_GOT_EXPERIENCE_POINT
488,MSI_GOT_JOB_EXPERIENCE_POINT
489,MSI_LEFT_GUILD
490,MSI_BAN_FROM_GUILD
491,MSI_ITEM_IDENTIFY_SUCCEESS
492,MSI_ITEM_IDENTIFY_FAIL
493,MSI_ITEM_COMPOUNDING_SUCCEESS
494,MSI_ITEM_COMPOUNDING_FAIL
495,MSI_HOSTILE_GUILD_SUCCEESS
496,MSI_TOO_MANY_HOSTILE_GUILD
497,MSI_ALREADY_REGISTERED_HOSTILE_GUILD
498,MSI_ITEM_REFINING_SUCCEESS
499,MSI_ITEM_REFINING_FAIL
